impact,timestamp
2,1560763800.0
2,1560763740.0
2,1560763680.0
2,1560763620.0
2,1560763560.0
2,1560763500.0
2,1560763440.0
2,1560763380.0
2,1560763320.0
2,1560763260.0
2,1560763200.0
2,1560763140.0
2,1560763080.0
2,1560763020.0
2,1560762960.0
2,1560762900.0
2,1560762840.0
2,1560762780.0
2,1560762720.0
2,1560762660.0
2,1560762600.0
2,1560762540.0
2,1560762480.0
2,1560762420.0
2,1560762360.0
2,1560762300.0
2,1560762240.0
2,1560762180.0
2,1560762120.0
2,1560762060.0
2,1560762000.0
2,1560761940.0
2,1560761880.0
2,1560761820.0
2,1560761760.0
2,1560761700.0
2,1560761640.0
2,1560761580.0
2,1560761520.0
2,1560761460.0
2,1560761400.0
2,1560761340.0
2,1560761280.0
2,1560761220.0
2,1560761160.0
2,1560761100.0
2,1560761040.0
2,1560760980.0
2,1560760920.0
2,1560760860.0
2,1560760800.0
2,1560760740.0
2,1560760680.0
2,1560760620.0
2,1560760560.0
2,1560760500.0
2,1560760440.0
2,1560760380.0
2,1560760320.0
2,1560760260.0
1,1560767400.0
1,1560767340.0
1,1560767280.0
1,1560767220.0
1,1560767160.0
1,1560767100.0
1,1560767040.0
1,1560766980.0
1,1560766920.0
1,1560766860.0
1,1560766800.0
1,1560766740.0
1,1560766680.0
1,1560766620.0
1,1560766560.0
1,1560766500.0
1,1560766440.0
1,1560766380.0
1,1560766320.0
1,1560766260.0
1,1560766200.0
1,1560766140.0
1,1560766080.0
1,1560766020.0
1,1560765960.0
1,1560765900.0
1,1560765840.0
1,1560765780.0
1,1560765720.0
1,1560765660.0
1,1560765600.0
1,1560765540.0
1,1560765480.0
1,1560765420.0
1,1560765360.0
1,1560765300.0
1,1560765240.0
1,1560765180.0
1,1560765120.0
1,1560765060.0
1,1560765000.0
1,1560764940.0
1,1560764880.0
1,1560764820.0
1,1560764760.0
1,1560764700.0
1,1560764640.0
1,1560764580.0
1,1560764520.0
1,1560764460.0
1,1560764400.0
1,1560764340.0
1,1560764280.0
1,1560764220.0
1,1560764160.0
1,1560764100.0
1,1560764040.0
1,1560763980.0
1,1560763920.0
1,1560763860.0
2,1560776400.0
2,1560776340.0
