0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,7,8,9,std,timestamp,impact
1.1211,1.121,1.1213,1.1213,1.1215,1.1213,1.1213,1.1213,1.1213,1.1213,1.1215,1.1215,1.1211,1.1213,1.1211,1.1212,1.1212,1.1212,1.1212,1.1208,1.1208,1.1212,1.1213,1.1208,1.1213,1.1216,1.1215,1.1213,1.1216,1.1215,1.1215,1.1217,1.1216,1.1216,1.1208,1.1215,1.1213,1.1212,1.1212,1.1208,1.1212,1.121,1.1211,1.121,1.121,1.1211,1.1211,1.1211,1.1212,1.1212,1.1212,1.1213,1.1212,1.1212,1.1215,1.1213,1.121,1.1211,1.1212,1.1212,0.00021434007247049384,1560760260.0,2
1.121,1.1211,1.1213,1.1215,1.1213,1.1213,1.1213,1.1213,1.1213,1.1215,1.1215,1.1213,1.1208,1.1211,1.1212,1.1212,1.1212,1.1212,1.1208,1.1208,1.1212,1.1213,1.1213,1.1208,1.1216,1.1215,1.1213,1.1216,1.1215,1.1215,1.1217,1.1216,1.1216,1.1215,1.1211,1.1213,1.1212,1.1212,1.1208,1.1212,1.121,1.1211,1.121,1.121,1.1211,1.121,1.1211,1.1212,1.1212,1.1212,1.1213,1.1212,1.1212,1.1215,1.1213,1.1213,1.1211,1.1212,1.1212,1.1213,0.00021376908621737652,1560760320.0,2
1.1211,1.1208,1.1215,1.1213,1.1213,1.1213,1.1213,1.1213,1.1215,1.1215,1.1213,1.1211,1.1208,1.1212,1.1212,1.1212,1.1212,1.1208,1.1208,1.1212,1.1213,1.1213,1.1216,1.1211,1.1215,1.1213,1.1216,1.1215,1.1215,1.1217,1.1216,1.1216,1.1215,1.1213,1.121,1.1212,1.1212,1.1208,1.1212,1.121,1.1211,1.121,1.121,1.1211,1.1211,1.1211,1.1212,1.1212,1.1212,1.1213,1.1212,1.1212,1.1215,1.1213,1.1213,1.1212,1.1212,1.1212,1.1213,1.1213,0.00021157478320650368,1560760380.0,2
1.1208,1.1208,1.1213,1.1213,1.1213,1.1213,1.1213,1.1215,1.1215,1.1213,1.1211,1.1212,1.1211,1.1212,1.1212,1.1212,1.1208,1.1208,1.1212,1.1213,1.1213,1.1216,1.1215,1.121,1.1213,1.1216,1.1215,1.1215,1.1217,1.1216,1.1216,1.1215,1.1213,1.1212,1.1211,1.1212,1.1208,1.1212,1.121,1.1211,1.121,1.121,1.1211,1.1211,1.1212,1.1212,1.1212,1.1212,1.1213,1.1212,1.1212,1.1215,1.1213,1.1213,1.1212,1.1212,1.1212,1.1213,1.1213,1.1215,0.0002108448613448897,1560760440.0,2
1.1208,1.1211,1.1213,1.1213,1.1213,1.1213,1.1215,1.1215,1.1213,1.1211,1.1212,1.1212,1.121,1.1212,1.1212,1.1208,1.1208,1.1212,1.1213,1.1213,1.1216,1.1215,1.1213,1.1211,1.1216,1.1215,1.1215,1.1217,1.1216,1.1216,1.1215,1.1213,1.1212,1.1212,1.1212,1.1208,1.1212,1.121,1.1211,1.121,1.121,1.1211,1.1211,1.1212,1.1212,1.1212,1.1212,1.1213,1.1212,1.1212,1.1215,1.1213,1.1213,1.1212,1.1212,1.1213,1.1213,1.1213,1.1215,1.1213,0.00020288885846413506,1560760500.0,2
1.1211,1.121,1.1213,1.1213,1.1213,1.1215,1.1215,1.1213,1.1211,1.1212,1.1212,1.1212,1.1211,1.1212,1.1208,1.1208,1.1212,1.1213,1.1213,1.1216,1.1215,1.1213,1.1216,1.1212,1.1215,1.1215,1.1217,1.1216,1.1216,1.1215,1.1213,1.1212,1.1212,1.1208,1.1212,1.1212,1.121,1.1211,1.121,1.121,1.1211,1.1211,1.1212,1.1212,1.1212,1.1213,1.1213,1.1212,1.1212,1.1215,1.1213,1.1213,1.1212,1.1212,1.1213,1.1212,1.1213,1.1215,1.1213,1.1213,0.00019432933100507649,1560760560.0,2
1.121,1.1211,1.1213,1.1213,1.1215,1.1215,1.1213,1.1211,1.1212,1.1212,1.1212,1.1212,1.1212,1.1208,1.1208,1.1212,1.1213,1.1213,1.1216,1.1215,1.1213,1.1216,1.1215,1.1212,1.1215,1.1217,1.1216,1.1216,1.1215,1.1213,1.1212,1.1212,1.1208,1.1212,1.1213,1.121,1.1211,1.121,1.121,1.1211,1.1211,1.1212,1.1212,1.1212,1.1213,1.1213,1.1212,1.1212,1.1215,1.1213,1.1213,1.1212,1.1212,1.1213,1.1212,1.1212,1.1215,1.1213,1.1213,1.1213,0.00019339079605811587,1560760620.0,2
1.1211,1.1212,1.1213,1.1215,1.1215,1.1213,1.1211,1.1212,1.1212,1.1212,1.1212,1.1208,1.1212,1.1208,1.1212,1.1213,1.1213,1.1216,1.1215,1.1213,1.1216,1.1215,1.1215,1.1213,1.1217,1.1216,1.1216,1.1215,1.1213,1.1212,1.1212,1.1208,1.1212,1.121,1.1213,1.1211,1.121,1.121,1.1211,1.1211,1.1212,1.1212,1.1212,1.1213,1.1212,1.1215,1.1212,1.1215,1.1213,1.1213,1.1212,1.1212,1.1213,1.1212,1.1212,1.1212,1.1213,1.1213,1.1213,1.1213,0.00019058389811894976,1560760680.0,2
1.1212,1.1212,1.1215,1.1215,1.1213,1.1211,1.1212,1.1212,1.1212,1.1212,1.1208,1.1208,1.1213,1.1212,1.1213,1.1213,1.1216,1.1215,1.1213,1.1216,1.1215,1.1215,1.1217,1.1213,1.1216,1.1216,1.1215,1.1213,1.1212,1.1212,1.1208,1.1212,1.121,1.1211,1.1215,1.121,1.121,1.1211,1.1211,1.1212,1.1212,1.1212,1.1213,1.1212,1.1212,1.1213,1.1215,1.1213,1.1213,1.1212,1.1212,1.1213,1.1212,1.1212,1.1212,1.1215,1.1213,1.1213,1.1213,1.1213,0.00019174636024357425,1560760740.0,2
