0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,7,8,9,std,timestamp
1.1218,1.1218,1.1218,1.1221,1.1223,1.122,1.122,1.1218,1.122,1.122,1.122,1.1222,1.1218,1.1221,1.122,1.122,1.122,1.1218,1.1218,1.1218,1.1218,1.1218,1.122,1.1218,1.1218,1.1217,1.1218,1.1217,1.1217,1.1218,1.1218,1.1218,1.1218,1.122,1.1217,1.122,1.122,1.1218,1.122,1.122,1.122,1.122,1.122,1.1217,1.1221,1.1218,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.1221,1.1221,1.122,1.1218,1.1218,1.1218,1.1218,0.00013698134503979916,1560733200.0
1.1218,1.1218,1.1221,1.1223,1.122,1.122,1.1218,1.122,1.122,1.122,1.1222,1.1221,1.1218,1.122,1.122,1.122,1.1218,1.1218,1.1218,1.1218,1.1218,1.122,1.1218,1.1217,1.1217,1.1218,1.1217,1.1217,1.1218,1.1218,1.1218,1.1218,1.122,1.122,1.1218,1.122,1.1218,1.122,1.122,1.122,1.122,1.122,1.1217,1.1221,1.1218,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.1221,1.1221,1.122,1.1218,1.1218,1.1218,1.1218,1.1218,0.0001369813450397992,1560733260.0
1.1218,1.1218,1.1223,1.122,1.122,1.1218,1.122,1.122,1.122,1.1222,1.1221,1.122,1.1217,1.122,1.122,1.1218,1.1218,1.1218,1.1218,1.1218,1.122,1.1218,1.1217,1.1218,1.1218,1.1217,1.1217,1.1218,1.1218,1.1218,1.1218,1.122,1.122,1.122,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.1217,1.1221,1.1218,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.1221,1.1221,1.122,1.1218,1.1218,1.1218,1.1218,1.1218,1.1221,0.0001369813450397992,1560733320.0
1.1218,1.1217,1.122,1.122,1.1218,1.122,1.122,1.122,1.1222,1.1221,1.122,1.122,1.1218,1.122,1.1218,1.1218,1.1218,1.1218,1.1218,1.122,1.1218,1.1217,1.1218,1.1218,1.1217,1.1217,1.1218,1.1218,1.1218,1.1218,1.122,1.122,1.122,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.1217,1.1221,1.1218,1.1218,1.122,1.1218,1.122,1.122,1.122,1.122,1.1221,1.1221,1.122,1.1218,1.1218,1.122,1.1218,1.1218,1.1221,1.1223,0.00013673778637321056,1560733380.0
1.1217,1.1218,1.122,1.1218,1.122,1.122,1.122,1.1222,1.1221,1.122,1.122,1.122,1.1218,1.1218,1.1218,1.1218,1.1218,1.1218,1.122,1.1218,1.1217,1.1218,1.1217,1.1218,1.1217,1.1218,1.1218,1.1218,1.1218,1.122,1.122,1.122,1.1218,1.122,1.1218,1.122,1.122,1.122,1.122,1.1217,1.1221,1.1218,1.1218,1.122,1.122,1.1218,1.122,1.122,1.122,1.1221,1.1221,1.122,1.1218,1.1218,1.122,1.122,1.1218,1.1221,1.1223,1.122,0.0001364123650310219,1560733440.0
1.1218,1.1218,1.1218,1.122,1.122,1.122,1.1222,1.1221,1.122,1.122,1.122,1.1218,1.1218,1.1218,1.1218,1.1218,1.1218,1.122,1.1218,1.1217,1.1218,1.1217,1.1217,1.1218,1.1218,1.1218,1.1218,1.1218,1.122,1.122,1.122,1.1218,1.122,1.122,1.1218,1.122,1.122,1.122,1.1217,1.1221,1.1218,1.1218,1.122,1.122,1.122,1.1218,1.122,1.122,1.1221,1.1221,1.122,1.1218,1.1218,1.122,1.122,1.122,1.1221,1.1223,1.122,1.122,0.0001339153961774236,1560733500.0
1.1218,1.1218,1.122,1.122,1.122,1.1222,1.1221,1.122,1.122,1.122,1.1218,1.1218,1.1218,1.1218,1.1218,1.1218,1.122,1.1218,1.1217,1.1218,1.1217,1.1217,1.1218,1.1218,1.1218,1.1218,1.1218,1.122,1.122,1.122,1.1218,1.122,1.122,1.122,1.1218,1.122,1.122,1.1217,1.1221,1.1218,1.1218,1.122,1.122,1.122,1.122,1.1221,1.122,1.1221,1.1221,1.122,1.1218,1.1218,1.122,1.122,1.122,1.122,1.1223,1.122,1.122,1.1218,0.00013337499349170244,1560733560.0
1.1218,1.1218,1.122,1.122,1.1222,1.1221,1.122,1.122,1.122,1.1218,1.1218,1.1218,1.1218,1.1218,1.1218,1.122,1.1218,1.1217,1.1218,1.1217,1.1217,1.1218,1.1218,1.1218,1.1218,1.1218,1.122,1.122,1.122,1.1218,1.122,1.122,1.122,1.122,1.1221,1.122,1.1217,1.1221,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.1223,1.1221,1.1221,1.122,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.1218,1.122,0.0001327487183450173,1560733620.0
1.1218,1.1218,1.122,1.1222,1.1221,1.122,1.122,1.122,1.1218,1.1218,1.1218,1.1218,1.1218,1.1218,1.122,1.1218,1.1217,1.1218,1.1217,1.1217,1.1218,1.1218,1.1218,1.1221,1.1218,1.122,1.122,1.122,1.1218,1.122,1.122,1.122,1.122,1.122,1.1223,1.1217,1.1221,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.1221,1.122,1.1221,1.122,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.1218,1.122,1.122,0.00013203534880233987,1560733680.0
1.1218,1.1218,1.1222,1.1221,1.122,1.122,1.122,1.1218,1.1218,1.1218,1.1218,1.1218,1.1221,1.122,1.1218,1.1217,1.1218,1.1217,1.1217,1.1218,1.1218,1.1218,1.1218,1.1223,1.122,1.122,1.122,1.1218,1.122,1.122,1.122,1.122,1.122,1.1217,1.122,1.1221,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.1221,1.1221,1.122,1.122,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.122,1.1222,1.1218,1.122,1.122,1.122,0.00013535960336172833,1560733740.0
1.1218,1.1221,1.1221,1.122,1.122,1.122,1.1218,1.1218,1.1218,1.1218,1.1218,1.122,1.1223,1.1218,1.1217,1.1218,1.1217,1.1217,1.1218,1.1218,1.1218,1.1218,1.122,1.122,1.122,1.122,1.1218,1.122,1.122,1.122,1.122,1.122,1.1217,1.1221,1.122,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.1221,1.1221,1.122,1.1218,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.122,1.1222,1.1221,1.122,1.122,1.122,1.1222,0.00013575918221460205,1560733800.0
1.1221,1.1223,1.122,1.122,1.122,1.1218,1.1218,1.1218,1.1218,1.1218,1.122,1.1218,1.122,1.1217,1.1218,1.1217,1.1217,1.1218,1.1218,1.1218,1.1218,1.122,1.122,1.122,1.122,1.1218,1.122,1.122,1.122,1.122,1.122,1.1217,1.1221,1.1218,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.1221,1.1221,1.122,1.1218,1.122,1.1218,1.122,1.122,1.122,1.122,1.122,1.122,1.1222,1.1221,1.1221,1.122,1.122,1.1222,1.1221,0.00013597385369588732,1560733860.0
1.1223,1.122,1.122,1.122,1.1218,1.1218,1.1218,1.1218,1.1218,1.122,1.1218,1.1217,1.122,1.1218,1.1217,1.1217,1.1218,1.1218,1.1218,1.1218,1.122,1.122,1.122,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.1217,1.1221,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.122,1.1221,1.1221,1.122,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.1222,1.1221,1.1221,1.1221,1.122,1.1222,1.1221,1.122,0.00013597385369588735,1560733920.0
1.122,1.122,1.122,1.1218,1.1218,1.1218,1.1218,1.1218,1.122,1.1218,1.1217,1.1218,1.1218,1.1217,1.1217,1.1218,1.1218,1.1218,1.1218,1.122,1.122,1.122,1.1218,1.122,1.122,1.122,1.122,1.122,1.122,1.1217,1.1221,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.122,1.1221,1.1221,1.122,1.1218,1.1218,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.1222,1.1221,1.1221,1.1221,1.1221,1.1222,1.1221,1.122,1.122,0.00012957194483726185,1560733980.0
